name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri
Rabb Wangu,Rabb Wangu,Desi Boys,2021-09-30,190932,28,0.309,0.664,0.595,0.0,0.318,-6.05,0.0329,91.942,0.676,4,7,1,spotify:track:65JDoHWrcYDXLI81ZwtTdo
Wah Kya Nazare (feat. Gaby Fuego),8 Chances,Harnoor,2021-12-20,176018,52,0.127,0.677,0.468,0.0,0.122,-7.866,0.24,125.829,0.518,4,9,1,spotify:track:4wbedCVVHRH1Gc0YuCoNj6
Rooh,Rooh,Tej Gill,2016-04-28,208577,61,0.0986,0.584,0.787,0.0,0.0706,-4.247,0.0308,90.072,0.481,4,1,0,spotify:track:1QbftLk2fmvtjmQ6DTvbAB
Schedule,Schedule,Tegi Pannu,2021-08-20,148376,72,0.518,0.826,0.581,2.49e-06,0.0703,-6.425,0.21,92.434,0.787,4,3,0,spotify:track:5eGsHi6RcL33gb9k89UYaB
Ma Belle,Ma Belle,AP Dhillon,2021-07-16,160824,71,0.0424,0.908,0.314,4.15e-05,0.0727,-9.614,0.116,97.011,0.244,4,0,1,spotify:track:3D0pmiK3zyF9PudyJ8mkor
Nakhre,Nakhre,Zack Knight,2015-05-18,194676,68,0.255,0.524,0.632,0.0,0.277,-7.285,0.0785,169.989,0.416,4,10,0,spotify:track:7tpRgru0h8B4eCvdBegLTA
Judaiya,En Route,Ezu,2021-10-14,204751,46,0.691,0.719,0.469,0.0,0.131,-7.945,0.0408,74.978,0.574,4,7,0,spotify:track:5XCrhMVLFj2i8p6zifZwWh
Aaja We Mahiya,Aaja We Mahiya,Imran Khan,2009-07-27,232066,68,0.131,0.639,0.594,0.0,0.119,-6.497,0.0347,80.034,0.378,4,10,1,spotify:track:75Ak0cit8hV604Wjlq1gf2
Insane,Insane,Various Artists,2021-04-16,206060,78,0.416,0.796,0.572,2.55e-05,0.0975,-7.03,0.0545,98.967,0.304,4,8,0,spotify:track:3UhmuWcFaLS3AO3kI9ynQ2
Chances,Not by Chance,AP Dhillon,2020-12-23,172235,62,0.195,0.621,0.705,4.19e-06,0.292,-5.604,0.222,85.036,0.437,4,6,0,spotify:track:3yiEaNgKJWN3gCfHfB8Q1u
Feels,Feels,AP Dhillon,2020-02-14,151304,62,0.108,0.71,0.698,0.0,0.098,-6.489,0.0368,91.976,0.0823,4,7,0,spotify:track:6CzMKOYzhBXzZszsy4yFIG
Into You,Into You,Tegi Pannu,2021-07-02,174508,64,0.309,0.72,0.711,0.0,0.492,-6.926,0.0457,148.223,0.713,4,1,0,spotify:track:455OjhLhU9JCNYKKoUOFwr
Excuses,Excuses,AP Dhillon,2020-07-24,176232,82,0.0842,0.837,0.717,0.0,0.149,-7.749,0.0822,94.984,0.494,4,5,0,spotify:track:29m79w9xPMH4YCD6r8JSmV
Fate,Not by Chance,AP Dhillon,2020-12-23,170666,63,0.173,0.632,0.761,0.579,0.113,-5.958,0.0865,90.006,0.0679,4,4,0,spotify:track:52XpQt2fDLozI4qlhYvWl0
Majhail,Majhail,AP Dhillon,2020-06-19,175187,66,0.31,0.811,0.844,0.0,0.731,-4.395,0.0898,93.48,0.889,4,8,1,spotify:track:0cpyy8xLYRt1OdlnqPmMnm
Everybody Hurts,No Name,Sidhu Moose Wala,2022-04-25,173333,73,0.434,0.738,0.599,0.0,0.13,-7.102,0.0393,120.052,0.575,5,8,1,spotify:track:1w3exvIgbRFV2ijf6qyWm8
Brown Munde,Brown Munde,Various Artists,2020-09-18,254400,76,0.223,0.854,0.611,0.0,0.119,-6.26,0.0864,100.024,0.417,4,8,0,spotify:track:58f4twRnbZOOVUhMUpplJ4
Junoon,Junoon,Mitraz,2022-01-30,191111,69,0.2,0.607,0.593,0.0,0.0833,-7.982,0.0378,107.988,0.211,4,4,0,spotify:track:4roFMBSQp7W4fYVxKMmhA5
Old Skool,Old Skool,Prem Dhillon,2020-08-05,253636,68,0.198,0.764,0.601,0.0,0.265,-6.999,0.325,87.926,0.905,4,6,1,spotify:track:4V9rQZOGILc4YfBnCDXgTz
Blame,Blame,Prem Dhillon,2022-04-28,230057,59,0.0216,0.672,0.51,0.0,0.383,-10.164,0.278,90.142,0.624,4,9,0,spotify:track:2WFfHu9sIOtM9ySp2PKaPw
Chann Diggeya,Chann Diggeya,Saabi Bhinder,2022-04-28,164812,58,0.248,0.649,0.697,0.0,0.142,-6.622,0.134,88.204,0.588,4,8,0,spotify:track:5EypzUfBoxXyDyzIRBzjEW
Promises,Promises,Saabi Bhinder,2021-12-13,184816,54,0.416,0.678,0.582,1.18e-05,0.109,-6.983,0.0373,78.955,0.162,4,11,0,spotify:track:55OfBElVAZDNBt1oCSungN
Arrogant,Arrogant,AP Dhillon,2020-01-10,102315,68,0.2,0.751,0.739,0.0,0.0926,-6.977,0.045,95.003,0.405,4,1,0,spotify:track:2jt9VV6QGn0tbwkrr26OO6
Tu Mera Hogaya Hai,Tadap,Pritam,2021-12-03,309150,46,0.453,0.598,0.814,2.71e-06,0.178,-6.698,0.0667,92.955,0.613,4,11,0,spotify:track:2pmufbyTPOHnniooCPJKod
US (feat. Raja Kumari),Moosetape,Sidhu Moose Wala,2021-05-15,230068,68,0.663,0.524,0.601,0.0,0.114,-6.112,0.0404,72.048,0.598,4,8,0,spotify:track:36cqlmc53NqlEUqPJdgUOx
